ven_d,model_d,tac_d
sony,xperia e4g e2003,35960306
lg,g flex2 ls996,35586806
lava,flair p1,91144245
huawei,honor 5x lte kiil01,86925502
karbonn,titanium s200 hd,91146470
wiko,sunset 2 dual2,35892707
samsung,galaxy s6 edge smg925i1,35296407
htc,incredible s s710e,86615300
huawei,g3512,86777500
intex,aqua power 4g,91152140
htc,one x9 dual 2ps5100,35465007
htc,one x9 dual 2ps5100,35385507
lg,c550,35687504
hisense,h9101,86786102
spice,stellar prime mi510,91131950
fly,ff244,35247408
fly,cirrus 11 fs517,35678208
blu,studio 70 lte,35322307
spice,m5565,91121430
zte,mf752 мтс 430d,86915901
huawei,nova 3e anetl00,86917203
huawei,nova 3e anetl00,86791003
alcatel,one touch pop 2 40 4045l,86544502
samsung,galaxy j3 2017 sms337tl,35644808
alcatel,one touch pop c2 4032d,86814002
alcatel,one touch pop c2 4032d,86474702
htc,desire u t327w,35513905
sony,xperia xzs g8231 pm1023bv,35709608
micromax,bolt q332,91144390
xiaomi,hongmi 1s redmi 1s,86437602
xiaomi,hongmi 1s redmi 1s,86613602
xolo,q500s ips,91138495
fly,stratus 9 fs409,35974908
samsung,w2017 veyron smw2017,35261108
samsung,w2017 veyron smw2017,35234408
lg,aka tdlte h779,35846806
lava,iris 506q,91132930
lenovo,tab 3 70 tb3730x,86943202
samsung,galaxy tab s 84 lte smt705w,35608506
lenovo,phab plus tdlte dual pb1770l pb1770m,86700702
alcatel,x602a,86456202
vivo,y31,86952502
vivo,y31,86792702
tecmobile,oyster 500,35269205
gigabyte,gsmart t4,35318206
tplink,neffos c5 max tp702b,86978602
micromax,bolt q383,91147755
samsung,galaxy note 4 tdlte duos smn9108w,35530406
samsung,galaxy note 4 tdlte duos smn9108w,35530306
lg,enact vs890,99000260
micromax,canvas juice 4 q382,91146775
archos,sense 47x,35935308
samsung,galaxy schr530smg900schi535schi545schr960smg730v,99000445
philips,t3566 multiple t3586 t8566 t3500,86208402
micromax,bolt q379,91144760
lenovo,a3600d,86617302
lenovo,a3600d,86795302
lenovo,phab 2 plus pb2670m,86099403
meizu,mx4 pro m462,86586302
nokia,31 dual ta1070,35338209
shenzhen jsr technology co ltd,innos i32,86406402
lg,optimus l1 ii tri e475f,35771905
lg,optimus l1 ii tri e475f,35192206
micromax,x234,91120795
htc,desire 828 dual d828t d828w,35252807
htc,desire 828 dual d828t d828w,35252907
huawei,g5510,86100200
freetel,musashi ftj161a,35771007
qmobile,b5,35412906
lenovo,moto e4 xt17671,35330808
lg,l30 d120f,35454506
lg,ice cream smart f440l,35759406
samsung,galaxy core plus cdma smg350,35885205
samsung,galaxy core plus cdma smg350,35865605
texet,xpad navi 73 3g tm7096,35232806
samsung,galaxy tab s2 97 ltea tmobile smt817t,35982906
lenovo,a328t,86452902
micromax,bolt a37b,91135685
coolpad,5891,86112602
karbonn,titanium s6,91139050
htc,desire 826 0phc410,35963206
fly,ff183,35551309
samsung,galaxy c9 pro smc900fds,35636808
samsung,galaxy c9 pro smc900fds,35636908
pipo,m7t,35268305
micromax,pixel a90,91122650
intex,aqua 55 vr plus,91158540
huawei,mate 8 nxtl09,86866202
huawei,y5ii lte dual cunl23,86989002
iball,bravo 18e,91138985
htc,one xl pj83110,35186005
lenovo,vibe shot z903,86662202
huawei,honor magic 2 tnyal001,86840104
huawei,ea360118,86677702
blu,dash 451,35230808
cube kubimofang,talk79 u55gt,86282302
xiaomi,redmi pro standard edition 2016020,86977302
xiaomi,redmi pro standard edition 2016020,99000766
lg,magna dual y90 h502f,35423207
lg,magna dual y90 h502f,35891206
xiaomi,redmi 2 hongmi 2 20148111,86724402
xiaomi,redmi 2 hongmi 2 20148111,86604802
panasonic,eluga ray 500,35316109
philips,d822,86009801
huawei,enjoy 7 dual trtlx1,86487503
huawei,enjoy 7 dual trtlx1,86356003
huawei,e3272 e3272s210,86238702
huawei,e3276s920,86749701
karbonn,titanium x,91135050
samsung,gte1262t,35313005
samsung,gte1262t,35312905
intex,aqua costa,91152830
fly,spark iq4404,86297102
fly,ff246,86151403
fly,ff246,35247508
blu,studio c 88,35231008
highscreen,power five,35407707
huawei,e5577 e5577s932,86685202
sony,xperia xa2 h3123 pm1081bv,35276709
allview,p5 pro,35607507
motorola,xt788,35254805
texet,xbasic tm4072,86305201
samsung,galaxy core dual gti8262b1,35738505
samsung,galaxy core dual gti8262b1,35738405
samsung,galaxy s duos gts7566,35559505
samsung,galaxy s duos gts7566,35559405
lg,x style k200mt,35893607
ulefone,s7,35394209
motorola,moto z2 force xt178904,35650308
allview,x3 soul style,35267308
micromax,canvas juice 4g q461,91147530
lenovo,phab 2 pro dual pb2690y,86997202
samsung,galaxy alpha smg850s,35398106
micromax,gc222,91124980
coolpad,note 6,86610103
prestigio,multipad rider 70 pmp3007,35387706
xiaomi,meg74,86725603
alcatel,one touch idol x dual s950t,86259302
lenovo,vibe c2 dual k10i40,86018203
samsung,galaxy j5 lte dual smj5007,35403707
samsung,galaxy j5 lte dual smj5007,35403807
asus,zenfone go zb450kl dual x009dc,35151808
doogee,t3,35995807
freetel,priori 3 lte dual ftu152a,35676307
samsung,galaxy a8s smg887f,35445410
samsung,galaxy a8s smg887f,35445310
samsung,galaxy j3 lte smj320r4,35741807
alcatel,pixi 3 50 5015x,35227807
htc,desire 626g dual 0pm11002,35549307
htc,desire 626g dual 0pm11002,35549207
htc,desire 728 dual d728t d728w,35153907
htc,desire 728 dual d728t d728w,35158207
jiayu,g4,86089802
karbonn,yuva 2,91160195
doov,t35,86504002
lg,c360,35833104
alcatel,one touch pop c2 4032e,86474802
simcom,sim800e,86126201
huawei,enjoy 5 dual titcl10,86809802
huawei,enjoy 5 dual titcl10,86048603
zopo,speed 7 zp951,35426307
obi connect fze,obi worldphone sj15,91148880
zte,sonata 3 z832,86962702
samsung,galaxy tab pro 84 3g smt322,35298506
motorola,droid xyboard 82 mz609,35651204
lenovo,ideatab s6000h,86022302
wiko,u feel,35212208
lg,g2 d8032,35870805
motorola,moto x style dual xt15721,35819907
xiaomi,redmi note 6 m1806e7tt,86893303
samsung,galaxy ace style smg310hn,35221506
lava,a73,91153505
samsung,galaxy a8 2016 lte dual sma810xz,35293408
samsung,galaxy a8 2016 lte dual sma810xz,35293308
philips,e120 multiple e130,86233402
samsung,galaxy tab 4 101 3g smt532,35296306
senseit,r390,35491906
xiaomi,2012053,86627801
motorola,moto g 2nd gen xt10682,35898806
apple,ipad 97 a18231,35945708
oppo,a53c1,86931702
htc,desire 526g dual 0pl4200,35734406
karbonn,k9 smart eco,91158910
cat,b35,35749109
cat,b35,35473010
sharp,the premium 10 waterproof softbank 301sh,35346205
meizu,mx4,86209502
micromax,x502,91144495
intex,aqua lite,91149980
micromax,canvas hd plus a190,91136985
samsung,galaxy s5 4g dual a3lschi535,99000481
alcatel,xpop dual ot 5035e ot 5035d,86666501
meizu,m1 metal m57a1,86186803
samsung,gtc3595,35642905
oysters,sochi,86679002
intex,aqua q7 pro,91149505
lava,z60s,91164250
lava,z60s,91163645
blu,studio 50k,35467106
alcatel,pixi 4 35 dual 4017d,35638907
lenovo,tab 2 a1070 a7600m,86658002
samsung,galaxy s5 active smg870s,35369306
myphone,qsmart premium,35339107
micromax,canvas spark dual q380 q380n,91149690
micromax,canvas spark dual q380 q380n,91147730
zte,grand memo 4g u9815,86682001
fujitsu,regza t02d docomo regza t02d toshiba regza t02d,35153705
lenovo,vibe s1 s1a40,86971302
lenovo,vibe s1 s1a40,86726702
lyf,water 9 ls5506,91150365
lenovo,k6 dual k33b36,86468703
htc,one e8 m8st,35244306
htc,one e8 m8st,35411306
blackberry,playbook 4g,99000081
motorola,moto e5 play xt1920181,35215310
lenovo,moto g4 dual xt1624,35895506
lenovo,moto g4 dual xt1624,35895606
xolo,era 1x pro,91158260
alcatel,pixi 4 55 5048t,35169308
alcatel,a5 led dual 5085j,35344209
alcatel,a5 led dual 5085j,35433408
coolpad,8908,86084502
fly,pride iq255 tinno s8053b,86763201
zte,blade a5101,86212703
microsoft,lumia 950 xl rm1085,35976006
micromax,bolt a79,91137555
samsung,ativ s neo att sghi187,35628305
hisense,c1 c1t,86920402
samsung,galaxy express 2 smg38151,35943605
samsung,galaxy s9 plus smg965u7,35350809
huawei,g play mini chcu03,86677902
huawei,honor 7 standard edition dual tdlte plkul00,86694702
doro,phoneeasy 740,35225605
micromax,bolt a068,91135355
samsung,galaxy s8 plus tdlte smg955d sc01k,35850108
zen,admire glam,91155175
xiaomi,redmi 7 m1810f6lt,86609304
xiaomi,redmi 7 m1810f6lt,86629604
obi connect fze,obi s507,91147715
fly,nimbus 17 fs527,35337109
spice,smart flo ivory mi450,91131340
prestigio,muze f3 psp3532duo,35315209
prestigio,muze f3 psp3532duo,35972007
prestigio,multipad journey 70 3g pmt3177,35419106
samsung,galaxy c7 smc700s,35945807
zte,mf253,86203201
lyf,wind 1 ls5010,86902502
lava,x19,91153690
huawei,mediapad 7d 4g,86907701
motorola,moto g6 plus dual xt19269,35188209
motorola,moto g6 plus dual xt19269,35554809
samsung,galaxy a7 lte sma700m,35709406
sony,xperia e3 d2243,35604306
kazam,tornado 455l,35786406
alcatel,one touch pixi first 4024f,35293107
samsung,galaxy trend 3 smg3508,35819505
huawei,ascend d2 d26070,86275002
htc,one s pj40210,35291105
allview,p6 energy lite,35978107
lg,stylus 2 plus dual k535t,35938507
blackberry,z30 rfv121lw,35647105
samsung,gear s3 frontier smr765a,35251808
micromax,canvas selfie 4 q349,91150790
lg,su760,35765604
allview,m8 stark,35669209
blu,life one lte1,35655507
samsung,galaxy on7 smg600s,35993607
zte,blade d2 t620,86835902
samsung,galaxy ace 4 lte smg313mu1,35422206
zen,admire star,91154405
lg,g4c c90 h520y,35164107
samsung,galaxy mega 2 smg750k,35522006
vivo,x21i,86898203
vivo,x21i,86923503
archos,access 50 color 3g,35313409
lava,a76,91150750
gionee,s6s,86159803
gionee,s6s,86340103
alcatel,one touch idol 2s 6050t,86545802
karbonn,titanium jumbo 2,91160210
lenovo,s850t,86401102
motorola,moto z3 play xt19299,35410109
gionee,m5 plus marathon m5 plus,86761102
gionee,m5 plus marathon m5 plus,86094203
prestigio,multiphone 3450 duo psp3450,35633506
spice,flo tv m5910,91124875
nokia,21 dual ta1084,35694009
sony,xperia z5 dual e6633 pm0907bv,35457707
samsung,galaxy tab 4 80 lte smt335k,35373306
nokia,lumia 610 tfe4,35295000
lava,z10,91155810
doogee,y6 c,35464008
htc,desire 816 dual d816v,35302506
allview,m10 luna,35669009
meizu,m809l,99001162
meizu,m809l,86787703
huawei,g9 vnsdl00,86051403
samsung,shwa305d,35757105
blu,life one x 2016 life one x sg,35613907
explay,b241,35359905
lyf,wind 4 ls5014,91149810
samsung,galaxy j1 ace lte dual smj110mds1,35322507
samsung,galaxy j1 ace lte dual smj110mds1,35322607
vivo,v3a v3l,86087003
vivo,v3a v3l,86086903
samsung,galaxy s4 mini tdlte gti9197,35744905
freetel,samurai kiwami 2 ftj162b,35299808
myphone,lline,35452607
lenovo,moto z droid dual xt1650,35411007
zen,cinemax 3,91152790
lg,max x165j prime ii bello ii,35193507
asus,fonepad 7 fe171cg k01f,35592106
acer,v350,35561705
sony,xperia sp 4g c5306,35715705
phicomm,c730lw dual,86055603
alcatel,1046d,86379202
huawei,nova 2 plus bacl01 bacl21,86476003
huawei,nova 2 plus bacl01 bacl21,86484103
mts,982o,35428606
zte,blade v7,86112903
samsung,galaxy note edge smn915t3,35172507
micromax,x556,91145780
samsung,galaxy c5 pro dual smc5018,35807208
samsung,galaxy c5 pro dual smc5018,35807308
htc,butterfly s 909d,35704205
vivo,y51e,86206303
lava,iris fuel f1,91145330
lenovo,a890e,86530102
blackview,a20,35785809
prestigio,grace x5 psp5470 duo,35878206
karbonn,alfa a91 power,91147955
nokia,51 ta1112,35693109
lava,iris 503e,91132905
explay,infinity gionee infinity,86606101
explay,infinity gionee infinity,86706501
samsung,galaxy grand max lte smg720ax2,35832406
samsung,galaxy trend plus gts7580e,35166406
xolo,a1000s,91139025
alcatel,u5 hd 5047y,35847008
acer,iconia talk s a1724,35453606
asus,vivotab smart k0yme400cl,35502405
highscreen,spark green orange n1t,86804801
kazam,thunder 450w,35856306
alcatel,1s 5024i,35543410
htc,desire 510 0pcv220b0pcv220r0pcv220t,35504506
htc,desire 510 0pcv220b0pcv220r0pcv220t,35504706
htc,desire 510 0pcv220b0pcv220r0pcv220t,35504606
huawei,p30 elel291,86546904
lg,k8 2017 dual lgx240dsf,35546108
alcatel,a3 xl 9008x,35498308
highscreen,winjoy,35627106
huawei,ascend y511 y511u251,86568501
huawei,ascend w1 w1c00,86921201
beeline,pro 5,35299408
xiaomi,mi 8 lite m1808d2tg,86265704
xiaomi,mi 8 lite m1808d2tg,86273004
micromax,canvas entice canvas hd a105,91135950
cat,s30,35193307
lg,stylus 3 dual m400df,35695008
philips,e180,86583202
philips,e180,86963902
prestigio,multiphone 5450 duo multiphone 5451 duo,35888505
acer,liquid z4 duo z1602,35181006
xolo,q500,91134415
bq mobile,aquaris x5 32gb,35837607
alcatel,u5 dual 5043y,35373609
samsung,galaxy s9 dual smg9608ds1,35282009
nokia,ta1062,35854308
zte,blade a521 dual,86390803
motorola,moto e 2nd gen 4g lte xt1524,35333906
samsung,galaxy win pro 2g smg3819d,35796905
texet,tm509r,35748106
huawei,p30 eleal001,86424104
huawei,p30 eleal001,86760204
htc,u12 life 2q6e300,35703509
xolo,era 4k,91150670
dexp,ixion x lte 45,35400407
blu,vivo xi,35980109
blu,vivo xi,35197110
samsung,galaxy s5 duos smg9009d,35217106
samsung,galaxy s5 duos smg9009d,35217006
lg,l70 triple d340,35294106
huawei,enjoy 5s lte gr3 tagl01,86887902
haier,a6,86601804
samsung,galaxy s4 4g sghm919n,35714805
coolpad,dazen x7,91145080
zte,orange dallas,86023501
lava,iris icon,91143675
general mobile,gm 6,35826208
samsung,galaxy s iii neo plus gti9301q,35329706
samsung,sma6060,35540310
samsung,sma6060,35540410
motorola,moto e5 play dual xt1920dl,35413209
huawei,honor 6 h60l04,86552002
coolpad,n950,86490500
alcatel,pixi 4 50 dual 5045f,35645208
huawei,e5377bs508,86511302
acer,liquid e700,35301406
acer,liquid e700,35493406
acer,liquid e700,35382906
micromax,x254,91133010
micromax,x254,91135530
huawei,honor 10 coltl101,86865203
huawei,honor 10 coltl101,86754703
samsung,galaxy alpha smg850w,35558506
blu,dash jr tv,35525106
panasonic,eluga arc 2,35237008
blu,studio view xl,35512809
dexp,larus e1,35178907
acer,liquid jade 2,35737807
acer,liquid jade 2,35737707
lenovo,tab 2 a850 a850lc2,86910002
huawei,nova plus dual mlal12,86133903
oneplus,two a2003 a2005,86729002
lg,optimus g 4g e975,35529605
videocon,v1540 multiv1540,91110580
alcatel,u5 3g 4047a 4047g,35989508
blu,studio x 5,35923007
lg,g2 mini dual d618,35266206
lg,g2 mini dual d618,35481606
fly,era energy 2 iq4401,86559302
huawei,p9 lite dual vnstl00,86940102
huawei,p9 lite dual vnstl00,86283703
myphone,prime plus,35614908
blackberry,leap str1001,35435906
lava,flair s1,91147305
huawei,gt3 nmol03,86091003
samsung,galaxy ace 4 lte smg313f1,35312006
freetel,priori 4 ftj162d,35286108
huawei,e8372 e8372h607,86742302
videocon,z55 delite,91147080
lenovo,k3 note k50t5,86760902
lenovo,k3 note k50t5,86604602
lg,l35 dual d157f,35393006
lg,l35 dual d157f,35740706
samsung,sma3058,35554510
samsung,sma3058,35554410
alcatel,u3 4055t,35933508
motorola,moto g5s dual xt1797,35189408
lava,iris 354,91137290
lava,iris 354,91140105
sony ericsson,xperia active st17i,35851004
lg,l50 sporty triple d228,35456706
lg,v30 h930g,35267609
wiko,fever 4g,35504807
asus,zenfone 4 selfie zd553kl x00ld,35860508
asus,zenfone 4 selfie zd553kl x00ld,35860608
samsung,galaxy xcover 3 smg388d,35295507
huawei,mate 9 dual mhaal002,86467803
gionee,s11s,86663403
intex,aqua 4g plus,91144510
htc,one dual 802t,35586705
huawei,honor 7x bndl21,86889303
huawei,honor 7x bndl21,86674904
alcatel,one touch idol ot 6030x ot 6030a ot 6030n,86979601
lava,iris 350m,91137170
coolpad,5855,86815100
coolpad,8811,86036900
vivo,y81s,86943303
vivo,y332,86774602
gionee,m5 lite marathon m5 lite,86932802
xiaomi,redmi note 4g dual 2014911,86806902
xiaomi,redmi note 4g dual 2014911,86646902
prestigio,multipad 4 diamond 101 3g pmp7177,35348306
samsung,galaxy note 101 4g shve230l,35482705
alcatel,scribe hd dual 8008d,86953701
allview,x4 soul mini s,35907408
myphone,infinity ii lte,35478707
alcatel,a3 plus 5049e,35736808
intex,cloud 4g smart,91147995
intex,aqua 45 pro,91150830
lenovo,vibe p1 dual p1l38,86752902
huawei,y516t00,86265902
htc,desire 606w,35860405
htc,desire 606w,35638005
panasonic,t44,35548207
panasonic,t44,35809207
lg,g5 europe h850,35765707
lg,v20 att h910pr,35216408
lg,k7 lte as330,35865707
meizu,meilan 6s,86566503
meizu,meilan 6s,86566403
lenovo,s60,35811202
lava,a56,91151570
panasonic,eluga u2,35789506
htc,one m8 m8sq,35722906
spice,xlife 406 mi406,91145120
samsung,galaxy core prime ve lte smg361mds,35221607
samsung,galaxy core prime ve lte smg361mds,35221707
sony,xperia e1 dual d2105,35385006
sony,xperia e1 dual d2105,35294606
qmobile,qsmart qs08,35626406
motorola,motoluxe xt389 m0d10,35949904
huawei,mediapad m5 lite bah2l09,86886203
beetel,gd500,91113495
yezz,andy 55ei a55ei,35879306
huawei,enjoy 9 dubtl00,86215004
huawei,enjoy 9 dubtl00,86092804
crosscall,trekker x1,35865806
alcatel,2010d dual 2010e,86012102
alcatel,2010d dual 2010e,86609402
samsung,galaxy grand 2 ltea smg710k,35153806
alcatel,1046g,86380302
sony,xperia t3 lte d5106,35480606
intex,aqua i5 mini,91137965
alcatel,one touch pop 3 50 5065x,35880206
sony,xperia z1 lte sol23,35809305
lg,x cam k580z,35877007
lg,optimus l3 ii e425j,35665705
karbonn,titanium s1 plus,91140615
micromax,canvas knight cameo a290,91137925
lg,k8 k350z,35343309
htc,u play 2pzm100,35467108
blackview,bv2000,35317207
allview,x4 soul vision,35266309
motorola,moto x 2nd gen mxi2360545,99000508
oneplus,one e1003,86964902
oneplus,one e1003,86804902
sony,xperia xa dual f3116 pm0924bv,35703208
sony,xperia xa dual f3116 pm0924bv,35812907
huawei,mtc 950,35714704
samsung,galaxy schi535schi545schi435schr970smg730vsmn900sphl520sphl710sphl720tsphl720,99000439
gionee,s11,86708303
gionee,s11,86699203
alcatel,2040d,86105702
alcatel,2040d,86105902
sony,xperia c5 ultra pm0892bv e5553,35419407
lg,l30 d120j,35454706
motorola,wx294 wx292,35637704
motorola,wx294 wx292,35651804
lenovo,moto g4 play dual xt16011,35567108
intex,aqua s1,91157070
samsung,galaxy note 101 2014 lte smp607t,35283006
highscreen,hercules,35843906
yu,yureka plus dual yu5510a,91147610
lg,x power k220z,35894907
ruggear,rg730,86038103
lenovo,vibe k4 note a7010,35410107
highscreen,power ice,35738907
motorola,moto g6 dual xt192512,35188409
samsung,galaxy a3 duos tdlte sma3000,35768906
samsung,galaxy a3 duos tdlte sma3000,35768806
huawei,enjoy 9 dubtl001,86341804
coolpad,7268,86062901
micromax,bolt a46,91133540
huawei,nova plus mlal01,86134803
leagoo,m5 plus,35454708
huawei,e5180h936,86929702
alcatel,2052a,86472802
samsung,galaxy s4 4g gti9508c,35735405
gigabyte,gsmart alto a2,35911305
lg,optimus l7 ii dual p716,35873705
lg,optimus l7 ii dual p716,35630505
inew,i8000 v5c,35526206
asus,zenfone 3 ze552kl z012d z012s,35694007
asus,zenfone 3 ze552kl z012d z012s,35353908
gionee,a1,86341600
gionee,a1,86385403
